,Image,Accuracy,F1,Jaccard,Recall,Precision
191,2187,0.9971923828125,0.9190140845070423,0.8501628664495114,0.9923954372623575,0.8557377049180328
192,22,0.9981689453125,0.9627791563275435,0.9282296650717703,0.9651741293532339,0.9603960396039604
193,2208,0.9879150390625,0.7739726027397262,0.6312849162011173,0.6712871287128713,0.9137466307277629
194,2209,0.9906005859375,0.7547770700636942,0.6061381074168798,0.6108247422680413,0.9875
195,2217,0.97882080078125,0.103359173126615,0.05449591280653951,0.05449591280653951,1.0
196,2225,0.985595703125,0.6445783132530121,0.47555555555555556,0.4841628959276018,0.963963963963964
197,2228,0.99676513671875,0.8664987405541562,0.7644444444444445,0.91005291005291,0.8269230769230769
198,2229,0.99542236328125,0.0,0.0,0.0,1.0
199,2247,0.98822021484375,0.0,0.0,0.0,0.0
200,2260,0.99700927734375,0.787878787878788,0.65,1.0,0.65
201,2279,0.98443603515625,0.0,0.0,0.0,1.0
202,2281,0.990234375,0.5721925133689839,0.40074906367041196,0.41312741312741313,0.9304347826086956
203,2286,0.99615478515625,0.0,0.0,0.0,1.0
204,2295,0.981689453125,0.013157894736842106,0.006622516556291391,0.008,0.037037037037037035
205,2298,0.97613525390625,0.7720116618075803,0.6286799620132953,0.8745046235138706,0.6910229645093946
206,2299,0.99163818359375,0.91661594643944,0.8460674157303371,0.930778739184178,0.9028776978417267
207,230,0.99920654296875,0.9289617486338797,0.8673469387755102,0.8854166666666666,0.9770114942528736
208,2309,0.9990234375,0.963302752293578,0.9292035398230089,0.9859154929577465,0.9417040358744395
209,2320,0.9791259765625,0.0,0.0,0.0,1.0
210,2324,0.9923095703125,0.40566037735849053,0.25443786982248523,0.34959349593495936,0.48314606741573035
211,2327,0.9951171875,0.8326359832635982,0.7132616487455197,0.7262773722627737,0.9754901960784313
212,2328,0.981689453125,0.4402985074626865,0.2822966507177033,0.28433734939759037,0.9752066115702479
213,2329,0.99029541015625,0.7994955863808323,0.6659663865546218,0.7529691211401425,0.8521505376344086
214,2337,0.99273681640625,0.7767354596622889,0.6349693251533742,0.971830985915493,0.646875
215,2343,0.9937744140625,0.8891304347826087,0.8003913894324853,0.8279352226720648,0.960093896713615
216,2347,0.98779296875,0.7894736842105263,0.6521739130434783,0.7894736842105263,0.7894736842105263
217,2350,0.99212646484375,0.0,0.0,0.0,1.0
218,2368,0.97259521484375,0.7283726557773744,0.5727878211227403,0.591937069813176,0.9465408805031447
219,2369,0.97064208984375,0.6537077033837293,0.4855614973262032,0.5236447520184544,0.8697318007662835
220,2375,0.99652099609375,0.0,0.0,0.0,1.0
221,2378,0.99090576171875,0.8433228180862251,0.7290909090909091,0.7638095238095238,0.9413145539906104
222,2394,0.974853515625,0.03286384976525822,0.016706443914081145,0.016706443914081145,1.0
223,2395,0.974365234375,0.0,0.0,0.0,1.0
224,2396,0.9586181640625,0.0,0.0,0.0,1.0
225,240,0.9888916015625,0.0,0.0,0.0,0.0
226,2400,0.9908447265625,0.7340425531914893,0.5798319327731093,0.5880681818181818,0.9764150943396226
227,2412,0.99456787109375,0.7925407925407926,0.6563706563706564,0.6563706563706564,1.0
228,2419,0.988525390625,0.0,0.0,0.0,1.0
229,2422,0.98388671875,0.6915887850467289,0.5285714285714286,0.5431192660550459,0.9517684887459807
230,2431,0.99755859375,0.9382716049382716,0.8837209302325582,0.9047619047619048,0.9743589743589743
231,2441,0.99444580078125,0.9246064623032311,0.8597842835130971,0.8759811616954474,0.9789473684210527
232,2443,0.97021484375,0.0,0.0,0.0,0.0
233,2447,0.9920654296875,0.8470588235294119,0.7346938775510204,0.7346938775510204,1.0
234,2462,0.986083984375,0.0,0.0,0.0,0.0
235,2467,0.99176025390625,0.6853146853146853,0.5212765957446809,1.0,0.5212765957446809
236,2469,0.99652099609375,0.5210084033613445,0.3522727272727273,0.4246575342465753,0.6739130434782609
237,247,0.998779296875,0.9038461538461539,0.8245614035087719,0.9791666666666666,0.8392857142857143
238,2481,0.99609375,0.8632478632478633,0.7593984962406015,0.9140271493212669,0.8178137651821862
239,2482,0.9962158203125,0.8952702702702702,0.8103975535168195,0.9233449477351916,0.8688524590163934
240,2486,0.99603271484375,0.8841354723707664,0.792332268370607,0.852233676975945,0.9185185185185185
